Index,sentence_ko,sentence_en,topic_label,emotion
0,SBS 기자님 술냄새가.,"SBS reporter, smell like booze.",Venting,neutral
3,대통령보다 2찍 기초수급자들이 더 멍청하다는것에 대해놀랐다.,I’m honestly shocked that the people who voted twice for him and are on welfare are even dumber than the president.,People,curiosity
4,민주당 척결,Purge the Democratic Party.,Politics & Economics,disapproval
5,위헌했다고 소명하는건가,Is that your excuse? That it’s unconstitutional?,Others,annoyance
6,여야를떠나 합법적인 모든수단은 어떤이유든핑계든 수용되지만불법적인 수단은 절대 용납될수없다,"Regardless of party, all legal means are justifiable, but illegal ones can never be tolerated, no matter the excuse.",Others,disgust
7,국짐은 이.상횡에도 친윤 친한 계파나 따지고 있다..,"Even in this chaos, the People Power Party is still obsessed with pro-Yoon factions.",People,disapproval
8,진짜 축생들이다,They’re literal beasts.,Venting,disgust
9,다 위헌이라는데 아니라는 윤돼지와 대통령실 진짜 모아놨구나,"Everyone says it’s unconstitutional, but Yoon Pig and the presidential office say otherwise. What a clown show.",People,annoyance
10,폐지들,Trash.,Venting,annoyance
11,종북반국가세력이 누구길래전쟁과 준하는 비상계엄을 선포하니.,What kind of anti-national Commie threat are you imagining to declare martial law?,Others,curiosity
12,제정신인가?,Are you out of your mind?,Venting,annoyance
13,탄핵해제 당한거아닌가 .,Wasn’t the impeachment lifted?,Punishment,amusement
14,제대로하는게 하나없네.,They can’t get a single thing right.,Venting,amusement
15,빙 ...마누라한테 까이겠다 불쌍해서 어쩌냐.,Pfft… his wife’s gonna chew him out. Poor guy.,Venting,amusement
16,뭔 자살골이냐ㅋ,"What kind of own goal is this, lol.",People,approval
17,탄핵안되도 나중에 감옥가서 계속 이불킥각인듯ㅋㅋㅋㅋㅋ,"Even if he dodges impeachment, he’s still gonna be kicking himself under the prison blanket later, lolol.",Punishment,caring
18,흔들리지 않고 피는 꽃이 어디 있으랴?,No flower blooms without being shaken.,People,anger
19,윤통은 한 번 실수했다고 낙심하지 말기 바랍니다.,"President Yoon, don’t lose heart over one mistake.",People,annoyance
20,내란죄 관련자 처벌하라 군인 움직인자,Punish all those involved in the insurrection. Especially the ones who moved the military.,Others,disapproval
21,아제 아주 갈데까지 가는구나.,You’ve really gone off the deep end now.,People,disapproval
22,저런인간을 도대체 왜 찎어주었을까?,Why the hell did people vote for that kind of man?,People,curiosity
23,아직도 계엄해제 승인 안하는 중.,Still hasn’t approved the lifting of martial law.,Others,annoyance
24,이것도 거부권이냐,Is this another veto?,Venting,annoyance
25,미쳤네,This is insane.,Venting,annoyance
26,24년에 이런 꼬라지 보라고열심히 일한거 아니야!,We didn’t work our asses off to see this kind of crap show in 2024!,Venting,nervousness
27,제발!,Please!,Venting,disappointment
28,이제 이재명 정권 잡으몀 북한에 약점 잡혀서 나라 팔아먹는건 시간문제네!,"If Lee Jae-myung takes power, it’s only a matter of time before North Korea blackmails him and he sells out the country.",People,confusion
29,빨리 이나라를 뜨는게 상책. . .,"Honestly, best to just get out of this country while you still can…",Venting,amusement
30,그럼 누구와 의논~?,Then who the hell did you even consult with?,Venting,disgust
31,친일에앞장서더니만 거부권은 역대최대로 쓰고 이젠 계엄령까지 서울의봄찍냐?,"First you led the charge for pro-Japan, then set a record with vetoes, and now it’s martial law? Are you filming Spring of Seoul or something?",Others,disgust
32,이 모든 사단은 범죄자 찟으로 부터 비롯되었다.,This whole mess started with that criminal Jjit (Lee Jae-myung).,People,disapproval
33,주두이 있다고 말을$함부로 말라.,Just because you’ve got a mouth doesn’t mean you should run it.,People,anger
34,언젠간 들어 갈 것이다.,You’ll end up behind bars someday.,Punishment,anger
35,이 세상에서 제일 나뿐 협잡꾼.,The worst con artist in this world.,Venting,approval
36,넌 반드시 법정 최고형을 당해야한다.,You absolutely deserve the maximum sentence under the law.,Punishment,neutral
37,동감합니다!,Agreed!,Venting,anger
38,현실을 정확히 파악한 글입니다,This comment nails the reality.,Venting,anger
39,육두문자밖에 면상에 던져주고 싶다,I want to throw nothing but curses at your face.,People,disgust
40,둘다 싫은데 님이 더 싫다 국민들 고기방패 세울 생각마라 같이 떠나주렴,"I hate both, but I hate you more. Don’t try to use the people as your meat shield—just leave.",People,anger
41,아 그 교활한 교활이 아닌가?,Isn’t that the sneaky bastard himself?,Punishment,surprise
42,얼른 집어넣어라,Lock him up already.,Punishment,surprise
43,실화냐?,Is this real life?,Venting,neutral
44,네이버 댓글도 싹 막았네?,Even Naver shut down the comment section?,Venting,neutral
47,동반사퇴가 답이다.,The only answer is for both sides to step down.,North Korea,approval
48,국민은 새로운 인물을 원한다.,The people want someone new.,Venting,gratitude
50,온나라 혼란 일으키고 민주주의 후퇴 시킨 윤석열 체포해라,Yoon Seok-yeol threw the country into chaos and set democracy back—arrest him.,People,anger
51,국회 앞에.,In front of the National Assembly.,Others,disappointment
53,나라를 살렸다,Saved the nation.,Venting,annoyance
54,고맙습니다,Thank you.,Others,neutral
55,"석열이 죄는, 될리없는 해프닝이나 벌여서 져것들이 또 독립운동하듯 나대게 만든거다.","Yoon’s crime was pulling a ridiculous stunt, letting those guys act like they're freedom fighters again.",People,annoyance
56,탄핵가고 국회해산하고 죄명형 재판 잘받고.,"Go for impeachment, dissolve the Assembly, and make sure Jae-myung gets a proper trial.",People,curiosity
57,나라꼴이.,This country is a disaster.,Venting,anger
58,대한민국 리셋버튼 없나.,Is there no reset button for Korea?,North Korea,admiration
59,나만 잘살자.,"Screw it, I’m just gonna live for myself.",People,neutral
60,오늘도 바쁘다.,Another busy day.,People,approval
61,계엄 발동했으면 이재명 민주당 의원들 다 쳐넣었어야지,"If you declared martial law, you should’ve locked up Lee Jae-myung and all the Democratic Party lawmakers.",Others,disapproval
62,왜 해제하는데.,Why the hell did you lift it?,Others,neutral
63,나가 뒤 져라,Go die.,People,disapproval
64,잘 한다~ 이 참에 국회에 있는 간첩들 다 솎아내자~,Nice job—let’s use this chance to root out all the spies in the Assembly.,North Korea,amusement
65,여기 민주당 의석수 운운하며 잘한것 없다는 베댓이 있는데 민주주의 교육 다시 빋아요.,There’s a top comment saying the Democratic Party hasn’t done anything despite their number of seats. That person needs a refresher on democracy.,Politics & Economics,neutral
66,민주주의 절대원칙 다수결이고 그걸 행사하라고 주권자인 국민이 준 권한임.,"The absolute rule of democracy is majority vote, and the people gave them that power.",Others,annoyance
67,그거를 이재명이 행사한다고 생각하는 사고 자체가 공산주의식 사고.,Thinking Lee Jae-myung is the one exercising that power is literally communist thinking.,People,annoyance
68,이재명은 당대표면서 1명의 의원일뿐.,"Lee is a party leader, but he’s still just one member of the Assembly.",People,disapproval
69,이번 계엄 선포한게 비슷한 사고 방식이고 민주주의 잘 모르는 인간들이 앞에 자유라는 수식어 붙이는거지.,Declaring martial law came from the same twisted logic—people who don’t understand democracy but love putting “freedom” in front of everything.,Others,annoyance
70,자유인민민주주의공화국처럼 말이지 ㅋㅋ,"Like how North Korea calls itself the Democratic People’s Republic, lol.",North Korea,anger
71,우리나라는 민주공화국이지 지유민주공화국 아니란다.,"Our country is a democratic republic, not a “free democratic republic.”",Politics & Economics,confusion
72,한심.,Pathetic.,Venting,confusion
73,쯧쯧.,Tsk tsk.,Venting,disapproval
74,제발 그자리에서 물러나라,Please step down from that position.,People,disgust
75,이렇게 깽판쳐도 지지하는 모지리들이 있네요,"Even after all this chaos, there are still idiots who support him.",People,annoyance
76,박안수 역모죄 사형,"Park An-soo — treason, death penalty.",Punishment,annoyance
77,재창출이 그리도 중요한 거냐???,Is reelection really that important???,Others,confusion
78,헌법보다???,More important than the Constitution???,Others,surprise
79,어차피 니 안뽑아,I wouldn’t vote for you anyway.,Venting,annoyance
80,석두가 정치를 하면 이런일들이 벌어짐,This is what happens when a bonehead gets into politics.,People,annoyance
81,윤석열 자는 몽둥이만 필요합니다,Yoon Seok-yeol just needs a beating stick.,People,relief
82,무슨 헛소리..,What nonsense is this…,Venting,approval
84,진짜 경상도인간들 다시 생각해도 생각해도 이해가 안가는 족속들이다!,"Seriously, I’ll never understand Gyeongsangdo people, no matter how hard I try!",People,sadness
85,살다살다.,Can’t believe I lived to see this.,Venting,amusement
86,이런것도 구경하는구나,"So we’re watching this mess unfold now, huh?",Venting,anger
87,참나.,Unbelievable.,Venting,neutral
88,윤꼴통,Yoon the nutjob.,People,realization
89,속이 다 후련하네요...,I feel so relieved inside...,People,admiration
90,종북세력 죄다 척결해야 합니다.,We need to wipe out all the pro-North forces.,North Korea,disapproval
91,난 병이라 잘모르고 해외못나간 거니가 시켜서 한거에요ㅋ,"I was sick, didn’t know much, couldn’t go abroad—just did what they told me to, lol.",Venting,approval
92,근데 다시봐도 병은 맞는듯 지금도 다죽겠는데.,"But honestly, yeah, he seems sick. Even now, people are dying.",Venting,curiosity
93,더죽으라고ㅋㅋ,"Guess we’re supposed to die more, lol.",People,annoyance
94,탄핵도 부족하다 정말내란 범죄자 체포하라!!!,Impeachment isn’t enough—arrest this traitor for treason!!!,Punishment,annoyance
95,"한대표는 온 나라가 과도한 뇌피셜 정쟁으로 정치고 경제고 방향을 못잡고, 혼란스런 국제 정세속에 벼랑 끝에선 대한민국의 실루엣이 보이지 않는 모양이네.","Rep. Han says the whole country is trapped in baseless political fights, drifting without direction politically and economically, unable to see Korea’s silhouette at the edge of chaos in global affairs.",North Korea,nervousness
96,"지금은 지도자를 중심으로 원팀이 되어 위기를 극복해야 할 시기인 데, 견해가 다르다고 저마다 반발하면 배가 어디로 가겠나.","Now is the time to unite under a leader and overcome the crisis—but if everyone rebels over differences of opinion, where is the ship supposed to go?",Venting,anger
97,윤석열 대통령 잘한다.,President Yoon is doing a great job.,People,disapproval
98,민주당 해산시키고 똘똘한 놈 국회로 보내자.,Dissolve the Democratic Party and send some competent people to the Assembly.,Politics & Economics,caring
99,윤석열 대통령 회이팅! .,Go President Yoon! Fighting!,People,disapproval
100,내란은 사형 아닌가요?,Isn’t treason punishable by death?,Punishment,disappointment
101,"이번일로 환율폭등, 내일 국장 망함.",This whole mess caused the won to plummet—stock market’s gonna crash tomorrow.,Politics & Economics,disgust
102,경기 더 어려워짐.,Economy’s getting worse.,Politics & Economics,anger
103,국가신용도 하락.,National credit rating is dropping.,Politics & Economics,disapproval
104,도대체 왜 이러냐,What the hell is going on?,Venting,annoyance
105,국회는 즉각 탄핵하고 특검을 임명하여 신속하게 국정을 안정시켜야한다.,The National Assembly must impeach immediately and appoint a special prosecutor to stabilize governance fast.,Punishment,annoyance
106,뒤돌아보지 말고 그대로 밀고 가야합니다.,Don’t look back—just push forward.,People,anger
107,검찰을 믿지말고 국가와 공공의 안녕질서를 위해 새 정부를 꾸려야 합니다.,Don’t trust the prosecution—build a new government for national and public safety.,Politics & Economics,anger
108,이것마저 거부한다면 더는 돌이킬수 없다,"If even this is rejected, there’s no going back.",People,annoyance
109,니가 비상시국이다,You are the real emergency.,Venting,anger
110,너희가 알면 비상 선포가 되겠니?,You think you declaring a state of emergency actually means anything?,Venting,anger
111,나불거려서 간첩들 이미 다 알게되겠지.??,You run your mouth so much the spies probably already know everything.,North Korea,disapproval
113,초등학생도 아는데 왜 모르니???,Even an elementary schooler would understand—why don’t you?,Venting,neutral
114,묻지 랂을수가 없습니다.,I can’t help but ask.,Venting,neutral
115,빨리 돼지 끌어내려서 깜빵에 안넣으면 천공도사가 또 점괘봐서 이번엔 북한이랑 전쟁할듯 ㄷㄷㄷ,"If we don’t drag that pig out and throw him in jail, that crazy cult shaman’s gonna do another fortune reading and say we’re going to war with North Korea this time, damn.",North Korea,amusement
116,이놈은 사형이다,This bastard deserves the death penalty.,Punishment,disapproval
117,참모진들 머하냐 총리는머하구,What are the advisors doing? And the Prime Minister?,Venting,amusement
118,이 정권 빨리 갈아 엎자,Let’s tear this regime down ASAP.,Venting,annoyance
119,내가 찢죄멍을 싫어하지만 비상계엄!!!!!!!!!!,"I hate Jjit Jaemyung, but martial law!!!!!!!!!!",People,annoyance
120,이건 아니다 도그세리아,"This is just wrong, Dogseria.",Venting,disapproval
121,ㅋㅋㅋㅋㅋㅋ 처단 뭐 어떻게 할 건데?,Lolol what kind of punishment are you even talking about?,Punishment,neutral
122,총살?,Execution?,Punishment,neutral
123,고문?,Torture?,Punishment,annoyance
124,진짜 ㅋㅋㅋㅋㅋ,"Seriously, lololol.",Venting,amusement
125,반동훈이네,This reeks of anti-Donghoon.,People,disapproval
126,누가 니들 맘대로 가결이래 ㅋㅋㅋㅋ,"Who told you you could just pass it like that, lol?",Venting,disapproval
